timestamp,intended_timestamp,snapshot_date,snapshot_weekday,session_label,expiry,nq_price,qqq_price,gamma_flip,gamma_regime,vol_regime,iv,rv_iv_ratio,hv5,hv10,hv21,hv63,strike_futures,strike_etf,dist_nq,dist_pct,net_gex,abs_gex,net_vex,net_charmex,net_dex,net_dag,net_vegaex,total_oi,score,type
2026-05-28T13:48:52 ET,2026-05-28T13:45:00 ET,2026-05-28,Thu,1348ET,2026-05-29,30306.75,736.395,29997.7,POSITIVE,NEUTRAL,21.48,0.713,10.45,15.4,15.32,18.81,27286.37,663.0,-3020.380000000001,-9.966030669735293,-330305.45000000007,792569.17,3251179.0100000002,4091867.67,18880651.83,38.76078,2284.3,967,,
2026-05-28T13:48:52 ET,2026-05-28T13:45:00 ET,2026-05-28,Thu,1348ET,2026-05-29,30306.75,736.395,29997.7,POSITIVE,NEUTRAL,21.48,0.713,10.45,15.4,15.32,18.81,27327.53,664.0,-2979.220000000001,-9.830219340575947,-358982.81,649432.55,3561277.2499999995,3306050.4200000004,11604182.57,23.713756,1831.26,796,,
2026-05-28T13:48:52 ET,2026-05-28T13:45:00 ET,2026-05-28,Thu,1348ET,2026-05-28,30306.75,736.395,29997.7,POSITIVE,NEUTRAL,21.48,0.713,10.45,15.4,15.32,18.81,27368.45,665.0,-2938.2999999999993,-9.695199914210528,-560183.12,648333.7599999999,2858309.4899999998,6438282.07,-182769.6000000001,-0.6507359999999993,1731.02,456,,
2026-05-28T13:48:52 ET,2026-05-28T13:45:00 ET,2026-05-28,Thu,1348ET,2026-05-29,30306.75,736.395,29997.7,POSITIVE,NEUTRAL,21.48,0.713,10.45,15.4,15.32,18.81,27368.69,665.0,-2938.0600000000013,-9.694408011416602,-7228087.5200000005,9787679.92,72267019.56,49120030.74,94007656.60000001,191.210902,26998.13,12053,,
2026-05-28T13:48:52 ET,2026-05-28T13:45:00 ET,2026-05-28,Thu,1348ET,2026-06-01,30306.75,736.395,29997.7,POSITIVE,NEUTRAL,21.48,0.713,10.45,15.4,15.32,18.81,27368.69,665.0,-2938.0600000000013,-9.694408011416602,-214503.89,226277.69,5337767.7,284010.08,826523.1399999999,0.7617039999999999,1012.19,615,,
2026-05-28T13:48:52 ET,2026-05-28T13:45:00 ET,2026-05-28,Thu,1348ET,2026-05-29,30306.75,736.395,29997.7,POSITIVE,NEUTRAL,21.48,0.713,10.45,15.4,15.32,18.81,27409.84,666.0,-2896.91,-9.558629678207,-895467.2999999999,1158935.1199999999,9022496.77,5732599.4,9463036.33,19.156021,3126.6800000000003,1434,,
2026-05-28T13:48:52 ET,2026-05-28T13:45:00 ET,2026-05-28,Thu,1348ET,2026-05-29,30306.75,736.395,29997.7,POSITIVE,NEUTRAL,21.48,0.713,10.45,15.4,15.32,18.81,27451.0,667.0,-2855.75,-9.422818349047654,-2169943.5,2647684.96,22032269.259999998,12905658.049999999,16225164.41,32.685897,6985.51,3292,,
2026-05-28T13:48:52 ET,2026-05-28T13:45:00 ET,2026-05-28,Thu,1348ET,2026-05-29,30306.75,736.395,29997.7,POSITIVE,NEUTRAL,21.48,0.713,10.45,15.4,15.32,18.81,27492.15,668.0,-2814.5999999999985,-9.28704001583805,-203291.07999999996,955628.12,2079860.42,4589120.13,32626277.290000003,65.405902,2465.25,1194,,
2026-05-28T13:48:52 ET,2026-05-28T13:45:00 ET,2026-05-28,Thu,1348ET,2026-05-29,30306.75,736.395,29997.7,POSITIVE,NEUTRAL,21.48,0.713,10.45,15.4,15.32,18.81,27533.31,669.0,-2773.4399999999987,-9.151228686678706,-714411.38,1029803.7000000001,7364413.719999999,4871069.1899999995,12502381.200000001,24.940977999999998,2597.18,1293,,
2026-05-28T13:48:52 ET,2026-05-28T13:45:00 ET,2026-05-28,Thu,1348ET,2026-05-28,30306.75,736.395,29997.7,POSITIVE,NEUTRAL,21.48,0.713,10.45,15.4,15.32,18.81,27574.23,670.0,-2732.5200000000004,-9.016209260313298,-1549847.97,1612873.2100000002,8471873.44,14911164.21,-3506682.52,-12.578412,3742.65,1126,,
2026-05-28T13:48:52 ET,2026-05-28T13:45:00 ET,2026-05-28,Thu,1348ET,2026-05-29,30306.75,736.395,29997.7,POSITIVE,NEUTRAL,21.48,0.713,10.45,15.4,15.32,18.81,27574.47,670.0,-2732.279999999999,-9.015417357519361,-5431428.43,6826337.8100000005,56408437.97,31797057.560000002,51406925.48,102.051591,16828.52,8613,,
2026-05-28T13:48:52 ET,2026-05-28T13:45:00 ET,2026-05-28,Thu,1348ET,2026-06-01,30306.75,736.395,29997.7,POSITIVE,NEUTRAL,21.48,0.713,10.45,15.4,15.32,18.81,27574.47,670.0,-2732.279999999999,-9.015417357519361,-121191.59000000001,223829.43,3023733.1999999997,260347.53999999998,9250980.81,9.147169,926.25,567,,
2026-05-28T13:48:52 ET,2026-05-28T13:45:00 ET,2026-05-28,Thu,1348ET,2026-05-29,30306.75,736.395,29997.7,POSITIVE,NEUTRAL,21.48,0.713,10.45,15.4,15.32,18.81,27615.62,671.0,-2691.130000000001,-8.87963902430977,-369916.63000000006,754819.23,3870237.12,3461533.43,16526806.129999999,32.650119000000004,1818.63,957,,
2026-05-28T13:48:52 ET,2026-05-28T13:45:00 ET,2026-05-28,Thu,1348ET,2026-06-01,30306.75,736.395,29997.7,POSITIVE,NEUTRAL,21.48,0.713,10.45,15.4,15.32,18.81,27615.62,671.0,-2691.130000000001,-8.87963902430977,-103652.19,103652.19,2585921.74,118661.97,-146585.6,-0.147508,422.29,258,,
2026-05-28T13:48:52 ET,2026-05-28T13:45:00 ET,2026-05-28,Thu,1348ET,2026-05-29,30306.75,736.395,29997.7,POSITIVE,NEUTRAL,21.48,0.713,10.45,15.4,15.32,18.81,27656.78,672.0,-2649.970000000001,-8.743827695150424,-2268623.87,2565350.45,23908946.39,11579580.11,9158583.29,18.007681,6039.860000000001,3268,,
2026-05-28T13:48:52 ET,2026-05-28T13:45:00 ET,2026-05-28,Thu,1348ET,2026-06-01,30306.75,736.395,29997.7,POSITIVE,NEUTRAL,21.48,0.713,10.45,15.4,15.32,18.81,27656.78,672.0,-2649.970000000001,-8.743827695150424,-40938.87,40938.87,1021038.38,46117.04,-57022.93,-0.058472,164.2,100,,
2026-05-28T13:48:52 ET,2026-05-28T13:45:00 ET,2026-05-28,Thu,1348ET,2026-05-29,30306.75,736.395,29997.7,POSITIVE,NEUTRAL,21.48,0.713,10.45,15.4,15.32,18.81,27697.93,673.0,-2608.8199999999997,-8.608049361940822,-2292511.71,2681629.25,24334985.61,11911223.26,13499077.83,26.419242999999998,6168.67,3432,,
2026-05-28T13:48:52 ET,2026-05-28T13:45:00 ET,2026-05-28,Thu,1348ET,2026-06-01,30306.75,736.395,29997.7,POSITIVE,NEUTRAL,21.48,0.713,10.45,15.4,15.32,18.81,27697.93,673.0,-2608.8199999999997,-8.608049361940822,-109860.73,114037.95,2738528.79,126374.64,211697.57,0.221497,450.3,273,,
2026-05-28T13:48:52 ET,2026-05-28T13:45:00 ET,2026-05-28,Thu,1348ET,2026-05-29,30306.75,736.395,29997.7,POSITIVE,NEUTRAL,21.48,0.713,10.45,15.4,15.32,18.81,27739.09,674.0,-2567.66,-8.472238032781476,-532067.12,1009682.92,5688025.09,4412064.609999999,20835609.36,40.595823,2268.95,1298,,
2026-05-28T13:48:52 ET,2026-05-28T13:45:00 ET,2026-05-28,Thu,1348ET,2026-06-01,30306.75,736.395,29997.7,POSITIVE,NEUTRAL,21.48,0.713,10.45,15.4,15.32,18.81,27739.09,674.0,-2567.66,-8.472238032781476,-28596.17,29449.79,712272.63,32097.18,33821.1,0.036157,114.47999999999999,69,,
2026-05-28T13:48:52 ET,2026-05-28T13:45:00 ET,2026-05-28,Thu,1348ET,2026-05-28,30306.75,736.395,29997.7,POSITIVE,NEUTRAL,21.48,0.713,10.45,15.4,15.32,18.81,27780.0,675.0,-2526.75,-8.337251602365809,-1676030.8599999999,1871709.58,9835342.959999999,16007175.620000001,167424.42000000086,0.5944980000000015,3743.0099999999998,1320,,
2026-05-28T13:48:52 ET,2026-05-28T13:45:00 ET,2026-05-28,Thu,1348ET,2026-05-29,30306.75,736.395,29997.7,POSITIVE,NEUTRAL,21.48,0.713,10.45,15.4,15.32,18.81,27780.25,675.0,-2526.5,-8.33642670362213,-3396499.44,9879669.4,36563900.26,42460268.17,291322796.61999995,565.198811,21685.21,12755,,
2026-05-28T13:48:52 ET,2026-05-28T13:45:00 ET,2026-05-28,Thu,1348ET,2026-06-01,30306.75,736.395,29997.7,POSITIVE,NEUTRAL,21.48,0.713,10.45,15.4,15.32,18.81,27780.25,675.0,-2526.5,-8.33642670362213,-216173.19,256350.83000000002,5378908.260000001,274712.76,3045646.87,3.331509,981.05,587,,
2026-05-28T13:48:52 ET,2026-05-28T13:45:00 ET,2026-05-28,Thu,1348ET,2026-05-28,30306.75,736.395,29997.7,POSITIVE,NEUTRAL,21.48,0.713,10.45,15.4,15.32,18.81,27821.16,676.0,-2485.59,-8.201440273206465,-952795.6000000001,978203.48,5672619.45,8229491.949999999,-1805096.78,-6.380636,1896.7700000000002,693,,
2026-05-28T13:48:52 ET,2026-05-28T13:45:00 ET,2026-05-28,Thu,1348ET,2026-05-29,30306.75,736.395,29997.7,POSITIVE,NEUTRAL,21.48,0.713,10.45,15.4,15.32,18.81,27821.4,676.0,-2485.3499999999985,-8.200648370412528,-1305357.12,1846941.46,14148898.68,7804723.76,22786461.810000002,44.032232,3959.05,2394,,
