timestamp,intended_timestamp,snapshot_date,snapshot_weekday,session_label,expiry,nq_price,qqq_price,gamma_flip,gamma_regime,vol_regime,iv,rv_iv_ratio,hv5,hv10,hv21,hv63,strike_futures,strike_etf,dist_nq,dist_pct,net_gex,abs_gex,net_vex,net_charmex,net_dex,net_dag,net_vegaex,total_oi,score,type
2026-05-29T09:49:38 ET,2026-05-29T09:45:00 ET,2026-05-29,Fri,0949ET,2026-05-29,30416.5,740.12,30190.3,POSITIVE,CONTRACTION,19.85,0.77,9.76,15.23,15.29,18.76,27411.51,667.0,-3004.9900000000016,-9.879473312182538,-3370438.6799999997,4007304.2,20854843.18,40906639.03,10451515.96,27.733130999999997,9069.17,3725,,
2026-05-29T09:49:38 ET,2026-05-29T09:45:00 ET,2026-05-29,Fri,0949ET,2026-05-29,30416.5,740.12,30190.3,POSITIVE,CONTRACTION,19.85,0.77,9.76,15.23,15.29,18.76,27452.6,668.0,-2963.9000000000015,-9.744382160998146,-779428.88,1787218.62,4872749.29,17991998.0,29830430.259999998,78.885136,3948.07,1667,,
2026-05-29T09:49:38 ET,2026-05-29T09:45:00 ET,2026-05-29,Fri,0949ET,2026-05-29,30416.5,740.12,30190.3,POSITIVE,CONTRACTION,19.85,0.77,9.76,15.23,15.29,18.76,27493.7,669.0,-2922.7999999999993,-9.609258132921275,-1801756.08,2224693.48,11380786.32,22082163.89,8673802.27,22.849885,4795.9800000000005,2083,,
2026-05-29T09:49:38 ET,2026-05-29T09:45:00 ET,2026-05-29,Fri,0949ET,2026-06-01,30416.5,740.12,30190.3,POSITIVE,CONTRACTION,19.85,0.77,9.76,15.23,15.29,18.76,27529.86,670.0,-2886.6399999999994,-9.490375289727613,-120639.70999999999,218676.67,2649986.7300000004,359345.88,7733542.12,8.616616,835.1400000000001,563,,
2026-05-29T09:49:38 ET,2026-05-29T09:45:00 ET,2026-05-29,Fri,0949ET,2026-06-02,30416.5,740.12,30190.3,POSITIVE,CONTRACTION,19.85,0.77,9.76,15.23,15.29,18.76,27529.86,670.0,-2886.6399999999994,-9.490375289727613,-56988.030000000006,85667.23000000001,1380098.71,105360.99,2007403.44,2.460894,390.45,191,,
2026-05-29T09:49:38 ET,2026-05-29T09:45:00 ET,2026-05-29,Fri,0949ET,2026-05-29,30416.5,740.12,30190.3,POSITIVE,CONTRACTION,19.85,0.77,9.76,15.23,15.29,18.76,27534.8,670.0,-2881.7000000000007,-9.474134104844413,-7194636.3,8981330.9,45916036.94,87879818.69000001,38766228.82,101.69232499999998,18890.989999999998,8445,,
2026-05-29T09:49:38 ET,2026-05-29T09:45:00 ET,2026-05-29,Fri,0949ET,2026-06-01,30416.5,740.12,30190.3,POSITIVE,CONTRACTION,19.85,0.77,9.76,15.23,15.29,18.76,27570.94,671.0,-2845.5600000000013,-9.355317015435705,-97386.26,97386.26,2087717.57,157658.09,-147453.34,-0.143234,365.93,247,,
2026-05-29T09:49:38 ET,2026-05-29T09:45:00 ET,2026-05-29,Fri,0949ET,2026-06-02,30416.5,740.12,30190.3,POSITIVE,CONTRACTION,19.85,0.77,9.76,15.23,15.29,18.76,27570.94,671.0,-2845.5600000000013,-9.355317015435705,-4614.42,4614.42,110184.57,5590.53,-7450.98,-0.008471,20.77,10,,
2026-05-29T09:49:38 ET,2026-05-29T09:45:00 ET,2026-05-29,Fri,0949ET,2026-05-29,30416.5,740.12,30190.3,POSITIVE,CONTRACTION,19.85,0.77,9.76,15.23,15.29,18.76,27575.9,671.0,-2840.5999999999985,-9.339010076767538,-549400.21,1057516.01,3542607.7099999995,10198054.82,15092377.749999998,39.40694,2169.77,999,,
2026-05-29T09:49:38 ET,2026-05-29T09:45:00 ET,2026-05-29,Fri,0949ET,2026-06-01,30416.5,740.12,30190.3,POSITIVE,CONTRACTION,19.85,0.77,9.76,15.23,15.29,18.76,27612.03,672.0,-2804.470000000001,-9.220225864251315,-55774.450000000004,59411.15,1093479.16,94579.93000000001,193303.61,0.18659799999999999,239.17999999999998,104,,
