timestamp,intended_timestamp,snapshot_date,snapshot_weekday,session_label,expiry,nq_price,qqq_price,gamma_flip,gamma_regime,vol_regime,iv,atm_iv,rv_iv_ratio,hv5,hv10,hv21,hv63,strike_futures,strike_etf,dist_nq,dist_pct,net_gex,abs_gex,net_vex,net_charmex,net_dex,net_dag,net_vegaex,total_oi,call_oi,put_oi,strike_iv,score,type
2026-06-08T07:40:37 ET,2026-06-08T07:40:00 ET,2026-06-08,Mon,0740ET,2026-06-08,29417.5,705.06,29659.6,NEAR_FLIP,EXPANSION,40.58,66.98640738472308,0.557,32.4,27.04,22.59,20.88,26494.36,635.0,-2923.1399999999994,-9.936738336024472,-2724296.03,2724296.03,9190276.84,26889986.22,-19171743.48,-84.333695,10935.33,1767,0,1767,293.02,,
2026-06-08T07:40:37 ET,2026-06-08T07:40:00 ET,2026-06-08,Mon,0740ET,2026-06-09,29417.5,705.06,29659.6,NEAR_FLIP,EXPANSION,40.58,66.98640738472308,0.557,32.4,27.04,22.59,20.88,26494.36,635.0,-2923.1399999999994,-9.936738336024472,-481828.58999999997,484878.13,2683006.0500000003,2425928.89,-2696174.46,-11.729384,2394.11,318,1,317,180.22,,
2026-06-08T07:40:37 ET,2026-06-08T07:40:00 ET,2026-06-08,Mon,0740ET,2026-06-10,29417.5,705.06,29659.6,NEAR_FLIP,EXPANSION,40.58,66.98640738472308,0.557,32.4,27.04,22.59,20.88,26494.36,635.0,-2923.1399999999994,-9.936738336024472,-564456.89,613792.4500000001,5067797.159999999,1547821.4000000001,-1706157.4999999998,-7.063534000000001,3800.34,423,17,406,113.0,,
2026-06-08T07:40:37 ET,2026-06-08T07:40:00 ET,2026-06-08,Mon,0740ET,2026-06-08,29417.5,705.06,29659.6,NEAR_FLIP,EXPANSION,40.58,66.98640738472308,0.557,32.4,27.04,22.59,20.88,26702.98,640.0,-2714.5200000000004,-9.227568624118298,-3378727.82,3482585.6,11691517.01,32003632.959999997,-19906221.55,-95.138854,12689.49,2079,31,2048,265.99,,
2026-06-08T07:40:37 ET,2026-06-08T07:40:00 ET,2026-06-08,Mon,0740ET,2026-06-09,29417.5,705.06,29659.6,NEAR_FLIP,EXPANSION,40.58,66.98640738472308,0.557,32.4,27.04,22.59,20.88,26702.98,640.0,-2714.5200000000004,-9.227568624118298,-248077.79,258000.91,1389839.98,1198167.18,-1147468.1700000002,-5.414508,1175.53,156,3,153,166.3,,
2026-06-08T07:40:37 ET,2026-06-08T07:40:00 ET,2026-06-08,Mon,0740ET,2026-06-10,29417.5,705.06,29659.6,NEAR_FLIP,EXPANSION,40.58,66.98640738472308,0.557,32.4,27.04,22.59,20.88,26702.98,640.0,-2714.5200000000004,-9.227568624118298,-2789164.2,2792335.5,24770600.63,6523791.399999999,-12420193.56,-56.189916000000004,16200.390000000001,1761,1,1760,105.88,,
2026-06-08T07:40:37 ET,2026-06-08T07:40:00 ET,2026-06-08,Mon,0740ET,2026-06-08,29417.5,705.06,29659.6,NEAR_FLIP,EXPANSION,40.58,66.98640738472308,0.557,32.4,27.04,22.59,20.88,26911.59,645.0,-2505.91,-8.51843290558341,-2775182.77,2888604.8699999996,9814906.41,24550524.72,-14301244.469999999,-74.645152,9525.43,1579,31,1548,240.72,,
2026-06-08T07:40:37 ET,2026-06-08T07:40:00 ET,2026-06-08,Mon,0740ET,2026-06-09,29417.5,705.06,29659.6,NEAR_FLIP,EXPANSION,40.58,66.98640738472308,0.557,32.4,27.04,22.59,20.88,26911.59,645.0,-2505.91,-8.51843290558341,-413635.81,420860.88999999996,2320144.21,1802760.86,-1907434.72,-9.830013999999998,1767.0500000000002,233,2,231,153.25,,
2026-06-08T07:40:37 ET,2026-06-08T07:40:00 ET,2026-06-08,Mon,0740ET,2026-06-10,29417.5,705.06,29659.6,NEAR_FLIP,EXPANSION,40.58,66.98640738472308,0.557,32.4,27.04,22.59,20.88,26911.59,645.0,-2505.91,-8.51843290558341,-370299.2,377285.98000000004,3234365.7,811610.27,-1458584.98,-7.268929,2050.35,216,2,214,99.18,,
2026-06-08T07:40:37 ET,2026-06-08T07:40:00 ET,2026-06-08,Mon,0740ET,2026-06-08,29417.5,705.06,29659.6,NEAR_FLIP,EXPANSION,40.58,66.98640738472308,0.557,32.4,27.04,22.59,20.88,27120.21,650.0,-2297.290000000001,-7.8092631936772365,-6510907.109999999,6514928.67,23429055.55,50821119.74,-33340163.73,-191.273213,19382.76,3240,1,3239,217.18000000000004,,
