timestamp,intended_timestamp,snapshot_date,snapshot_weekday,session_label,expiry,nq_price,qqq_price,gamma_flip,gamma_regime,vol_regime,iv,rv_iv_ratio,hv5,hv10,hv21,hv63,strike_futures,strike_etf,dist_nq,dist_pct,net_gex,abs_gex,net_vex,net_charmex,net_dex,net_dag,net_vegaex,total_oi,score,type
2026-06-03T07:51:57 ET,2026-06-03T07:50:00 ET,2026-06-03,Wed,0752ET,2026-06-03,30778.25,746.16,30712.0,NEAR_FLIP,EXPANSION,,,,,,,27719.23,672.0,-3059.0200000000004,-9.938901659451075,-372883.01,444333.65,2261176.19,4560695.9399999995,1067446.74,2.8686429999999996,1031.71,398,,
2026-06-03T07:51:57 ET,2026-06-03T07:50:00 ET,2026-06-03,Wed,0752ET,2026-06-04,30778.25,746.16,30712.0,NEAR_FLIP,EXPANSION,,,,,,,27719.23,672.0,-3059.0200000000004,-9.938901659451075,-6757.129999999999,12763.47,69104.19,65818.3,270066.81,0.48808399999999996,35.36,17,,
2026-06-03T07:51:57 ET,2026-06-03T07:50:00 ET,2026-06-03,Wed,0752ET,2026-06-03,30778.25,746.16,30712.0,NEAR_FLIP,EXPANSION,,,,,,,27760.48,673.0,-3017.7700000000004,-9.804878445005809,-24544.9,24544.9,150227.62,248499.02,-70872.39,-0.190335,55.7,22,,
2026-06-03T07:51:57 ET,2026-06-03T07:50:00 ET,2026-06-03,Wed,0752ET,2026-06-04,30778.25,746.16,30712.0,NEAR_FLIP,EXPANSION,,,,,,,27760.48,673.0,-3017.7700000000004,-9.804878445005809,-9029.43,9029.43,92775.45,45914.57,-19658.26,-0.035606,24.56,12,,
2026-06-03T07:51:57 ET,2026-06-03T07:50:00 ET,2026-06-03,Wed,0752ET,2026-06-03,30778.25,746.16,30712.0,NEAR_FLIP,EXPANSION,,,,,,,27801.73,674.0,-2976.5200000000004,-9.670855230560543,-3475542.09,3475542.09,21469918.04,34700821.45,-9750103.12,-26.161326,7706.2,3118,,
2026-06-03T07:51:57 ET,2026-06-03T07:50:00 ET,2026-06-03,Wed,0752ET,2026-06-04,30778.25,746.16,30712.0,NEAR_FLIP,EXPANSION,,,,,,,27801.73,674.0,-2976.5200000000004,-9.670855230560543,-5280.57,5280.57,54505.11,26472.72,-11249.52,-0.020428,14.09,7,,
2026-06-03T07:51:57 ET,2026-06-03T07:50:00 ET,2026-06-03,Wed,0752ET,2026-06-03,30778.25,746.16,30712.0,NEAR_FLIP,EXPANSION,,,,,,,27842.98,675.0,-2935.2700000000004,-9.536832016115278,-1842678.01,1876080.03,11488624.19,18468539.64,-3993057.75,-10.701906,4063.79,1685,,
2026-06-03T07:51:57 ET,2026-06-03T07:50:00 ET,2026-06-03,Wed,0752ET,2026-06-04,30778.25,746.16,30712.0,NEAR_FLIP,EXPANSION,,,,,,,27842.98,675.0,-2935.2700000000004,-9.536832016115278,-78682.29000000001,96839.75,815771.4500000001,478534.16000000003,693523.4099999999,1.263016,253.65,128,,
2026-06-03T07:51:57 ET,2026-06-03T07:50:00 ET,2026-06-03,Wed,0752ET,2026-06-03,30778.25,746.16,30712.0,NEAR_FLIP,EXPANSION,,,,,,,27884.23,676.0,-2894.0200000000004,-9.402808801670012,-3005398.57,3005398.57,18911299.34,29164544.22,-7953394.41,-21.286912,6358.61,2703,,
2026-06-03T07:51:57 ET,2026-06-03T07:50:00 ET,2026-06-03,Wed,0752ET,2026-06-04,30778.25,746.16,30712.0,NEAR_FLIP,EXPANSION,,,,,,,27884.23,676.0,-2894.0200000000004,-9.402808801670012,-12144.980000000001,13663.1,126465.41,66536.72,46746.95,0.08541499999999999,35.120000000000005,18,,
